Item,Description,Category,Fqty,Shortage,SupplierID
8351663,Chip capacitor 16V 39P J NP0 01005,317.General Electronic Materials-06.CAPACITOR,14664,0,O28
8040345,SMD Schottky diode de PMEG2002AESF DSN0201  side conduction,317. General Electronic Materials-05. Diode,26124,0,J10
9170834,Ordinary IC SGM3785YTDP14G/TR TDFN14 Wentai,317.General Electronic Materials-01.General IC,1295,0,O19
8241940,Precise Resistor 1/16W 4.7R ?1% 0402 Huaqin,317.General Electronic Materials-07.RSistor,4248,0,O19
8351761,Chip capacitor 50V 1.8pF ?1% C0G 0201 Wentai,317.General Electronic Materials-06.CAPACITOR,29110,0,O19
8420982,SMD magnetic core inductor 0.33uH ?20% 4.8A(3.8A) 28mO HTOH20120H-R33MSR,317.General Electronic Materials-02.inductor,3244,0,O28
9480020,Diversity RX module QDM-5578-0-LGA24F+S-TR-B2-0,316.RF DeviceS-N/A,3379,0,O21
9480022,Diversity RX module MXD9121UT LGA,316.RF DeviceS-N/A,36440,0,O21
8351909,Chip capacitor 16V 0.047uF ?20% X5R 0201 Wentai,317.General Electronic Materials-06.CAPACITOR,13790,0,O19
8242049,Chip resistor 1/20W 560O ?5% 0201 Wentai,317.General Electronic Materials-07.RSistor,7570,0,O19
4887397,MT6635 thermally conductive silicone sheet AA411 Single-sided adhesive,351. Package accessories -06. Other auxiliary materials,2866,0,J7
9110545,Nest plate for IC MT6833V/PNZA VFBGA,313.platform solution 01. Chip IC,260,0,J2
4888305,U board BTB waterproof silicone sheet 2 FA277 single-sided adhesive,351. Package accessories -06. Other auxiliary materials,21192,0,J7
8242123,Chip resistor 1/20W 1.5K ?5% 0201 Wentai,317.General Electronic Materials-07.RSistor,8319,0,O19
9110555,Nest plate for IC MT6195W/A WFBGA,313.platform solution 01. Chip IC,12816,0,J2
8242138,Precise SMD resistor 1/20W 360K ?1% 0201,317.General Electronic Materials-07.RSistor,3148,0,O28
8352145,Chip capacitor 4V 4.3uF ?20% X5R 0402 Wentai,317.General Electronic Materials-06.CAPACITOR,16088,0,O19
9760546,BTB socket 40pin 0.35mm 0.6mm BK13C06-40DS/2-0.35V(868) Wentai,331. Plug-in-N/A,1204,0,O19
9171140,Ordinary IC WL2820D30-4/TR DFN1x1-4L Huaqin,317.General Electronic Materials-01.General IC,3540,0,O19
9171144,ordinary IC KTD2687EUR-TR CSP,317.General Electronic Materials-01.General IC,5430,0,O31
4891184,PMU-RF shielding cover copper foil AA341 single-sided adhesive,351. Package accessories -06. Other auxiliary materials,301,0,J7
8411180,Stacked Inductor 7.5nH ?3% 400mA 0201 Wentai,317.General Electronic Materials-02.inductor,14440,0,O19
4892534,Die cut accessories AA341 BB shielding cover conductive copper foil single-sided adhesive (right),351. Package accessories -06. Other auxiliary materials,2000,0,J7
4892884,Die cut accessories AB449 CHARGER shield conductive copper foil Wentai,351. Package accessories -06. Other auxiliary materials,7654,0,O19
4892996,Die cut accessories AB465 BTB waterproof silicone cover for WJ camera Wentai,351. Package accessories -06. Other auxiliary materials,1395,0,O19
9820350,Analog switch DFN 100M 1520 AW35742FCR Huaqin,317.General Electronic Materials-04.Tact Switch,2537,0,O19
9120567,DDR MT53E512M32D1NP-046 WT:B 2GB LPDDR4X 14.5mm*10mm 0.8 200ball,313.platform solution 03.storage IC,370,0,O37
8242302,Surface mounted Resistor 1/20W 2.2KO ?5% 0201 Wentai,317.General Electronic Materials-07.RSistor,28675,0,O19
8242301,Surface mounted Resistor 0.05W 2.2O ?5% 0201 Wentai,317.General Electronic Materials-07.RSistor,15000,0,O19
4711669,SHIELD-COVER 19863 RF Copper-Nickel-Zinc Alloy Wentai,321. Structured parts-12.smt small hardware,1963,0,O19
9130495,PA FX5627W 4mm*6.8mm*0.75mm LGA Wentai,316.rf devices-01.pa,355,0,O19
9051207,Acoustic Filter SLFD21-3R000G-32T Filter 617-2690/3300-5925M 2.0mm*1.2mm*0.65mm Wentai,316.rf devices-04.filter,4000,0,O19
